MSN,YYYYMM,Value,Column_Order,Description,Unit
CLIMBUS,194913,.007875,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,195013,.009132,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,195113,.007986,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,195213,.007287,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,195313,.006462,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,195413,.005127,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,195513,.008425,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,195613,.0089,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,195713,.0092,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,195813,.007777,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,195913,.009451,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,196013,.006551,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,196113,.004125,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,196213,.006003,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,196313,.006802,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,196413,.007325,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,196513,.0046,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,196613,.00445,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,196713,.005675,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,196813,.0056,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,196913,.002725,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,197013,.0009,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,197113,.002775,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,197213,.001175,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,197301,.00005,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,197302,.00005,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,197303,.000075,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,197304,.0001,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,197305,.00025,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,197306,.000075,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,197307,.00005,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,197308,.0002,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,197309,.0006,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,197310,.000975,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,197311,.000375,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,197312,.000375,"1","Coal Imports","Quadrillion Btu"
