MSN,YYYYMM,Value,Column_Order,Description,Unit
CLEXBUS,194913,.877294,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,195013,.786496,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,195113,1.682779,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,195213,1.40298,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,195313,.980726,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,195413,.910509,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,195513,1.464521,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,195613,1.984106,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,195713,2.174059,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,195813,1.415843,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,195913,1.051257,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,196013,1.02317,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,196113,.980641,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,196213,1.08291,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,196313,1.356399,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,196413,1.335161,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,196513,1.376486,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,196613,1.350634,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,196713,1.352369,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,196813,1.380367,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,196913,1.534224,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,197013,1.9355,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,197113,1.546119,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,197213,1.530788,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,197301,.079655,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,197302,.071118,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,197303,.092288,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,197304,.136198,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,197305,.139124,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,197306,.13407,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,197307,.111623,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,197308,.138831,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,197309,.092049,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,197310,.159017,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,197311,.139922,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,197312,.131304,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,197313,1.4252,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,197401,.076175,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,197402,.123861,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,197403,.085947,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,197404,.134141,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,197405,.163858,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,197406,.1712,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,197407,.143005,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,197408,.137425,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,197409,.131631,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,197410,.198114,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,197411,.182441,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,197412,.07185,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,197413,1.619649,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,197501,.114031,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,197502,.119901,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,197503,.151005,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,197504,.165402,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,197505,.186625,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,197506,.16827,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,197507,.126966,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,197508,.156822,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,197509,.123009,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,197510,.124921,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,197511,.202243,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,197512,.122106,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,197513,1.7613,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,197601,.098716,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,197602,.081771,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,197603,.106404,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,197604,.155509,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,197605,.152876,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,197606,.176737,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,197607,.131063,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,197608,.113586,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,197609,.15253,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,197610,.157292,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,197611,.146492,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,197612,.123641,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,197613,1.596619,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,197701,.057875,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,197702,.082856,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,197703,.091564,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,197704,.150129,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,197705,.152837,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,197706,.160483,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,197707,.138634,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,197708,.115059,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,197709,.136218,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,197710,.130908,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,197711,.121218,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,197712,.104095,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,197713,1.441875,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,197801,.023715,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,197802,.015605,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,197803,.010011,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,197804,.069249,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,197805,.118514,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,197806,.143844,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,197807,.094685,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,197808,.096262,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,197809,.091512,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,197810,.133835,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,197811,.159672,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,197812,.121124,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,197813,1.078028,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,197901,.095757,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,197902,.072422,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,197903,.123301,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,197904,.139935,"1","Coal Exports","Quadrillion Btu"
CLEXBUS,197905,.165057,"1","Coal Exports","Quadrillion Btu"
